ו,and
ה,the
ל,to
ב,"in, at, with"
את,(direct object)
מן,from
יה,"LORD, GOD"
עלה,"upon, over, above"
אל,"to, toward"
אשׁר,which
כלל,all
אמר,to say
לא,"not, no"
בן,son
כי,"that, because, when"
היה,to be
כ,"as, like"
עשׂה,"to do, make"
אל,God
בוא,to come
מלך,king
שׂרה אל,Israel
ארץ,"land, earth"
יום,day
אישׁ,man
פנה,"before, face"
בית,house
נתן,"to give, put, set"
ס,[minor break]
עמם,people
זה,this (m)
יד,hand
הלך,"to walk, go"
דבר,"word, speech"
הוא,"he, it"
ראה,to see
עדה,"until, as far as"
אב,father
שׁמע,to hear
פ,[major break]
דבר,to speak
עיר,city
ישׁב,"to sit, dwell"
יצא,to go out
דוד,David
שׁוב,to return
אם,if
הן,behold
,with
אחד,one (m)
לקח,to take
ידע,to know
את,with
עין,"eye, spring, Ain"
עלה,to go up
א,the
שׁנה,year
אני,"I, myself"
,name
שׁלח,to send
מות,to die
,there
יהד,Judah
אכל,to eat
עבד,"servant, slave"
אין,"nothing, is not"
אשׁה,"woman, wife"
אדן,lord
גמם,also
שׁנה,two
משׁה,Moses
נפשׁ,soul
מה,what?
אתה,you (m. sing.)
ו,and
ה,(interrogative)
כהן,priest
אלה,these
כן,"so, thus"
קרא,to call
אל,"no, not"
אחר,after
דרך,way
,"Egypt, Mizraim"
נשׂא,"to lift, carry, take"
ירה שׁלם,Jerusalem
אח,brother
קום,"to arise, stand"
שׁלשׁ,three
לבב,"heart, Leb"
ראשׁ,head
בת,daughter
שׂים,"to put, set"
מים,water
מאה,hundred
כה,"thus, here"
הוא,they (m.)
גוה,nation
הר,mountain
עבר,"to pass over, through, or by"
אדם,man
גדל,great
עמד,to stand
תחת,"under, instead of"
חמשׁ,five
קול,voice
נכה,to smite
פה,mouth
צוה,to command
ילד,"to bear, beget"
אלף,thousand
עוד,"again, still, longer"
שׁבע,seven
הוא,"she, it"
טוב,"pleasant, good"
צבא,"host, army, war, service"
קדשׁ,holy
שׁמר,"to keep, watch, preserve"
רבע,"four, Arba"
מצא,to find
עלם,"forever, everlasting"
נפל,to fall
,now
שׁפט,"judgment, Mishpat"
שׂרר,"prince, chief, Sar"
מי,who?
